"date","firstprize","3pre_number1","3pre_number2","3post_number1","3post_number2","2post_number"
"17
                        มกราคม
                        2568","807779","961","699","477","448","23"
"2
                        มกราคม
                        2568","730209","065","446","376","297","51"
"16
                        ธันวาคม
                        2567","097863","290","742","339","881","21"
"1
                        ธันวาคม
                        2567","669843","559","626","098","654","61"
"16
                        พฤศจิกายน
                        2567","187221","036","923","547","980","38"
"1
                        พฤศจิกายน
                        2567","536044","225","174","063","231","32"
"16
                        ตุลาคม
                        2567","482962","648","561","919","493","00"
"1
                        ตุลาคม
                        2567","718665","812","053","566","079","59"
"16
                        กันยายน
                        2567","608662","230","904","008","408","37"
"1
                        กันยายน
                        2567","199606","173","220","388","094","94"
"16
                        สิงหาคม
                        2567","095867","212","334","697","728","28"
"1
                        สิงหาคม
                        2567","407041","408","579","070","622","46"
"16
                        กรกฎาคม
                        2567","367336","011","331","618","421","21"
"1
                        กรกฎาคม
                        2567","434503","839","975","647","778","89"
"16
                        มิถุนายน
                        2567","518504","428","016","447","426","31"
"1
                        มิถุนายน
                        2567","530593","364","194","421","734","42"
"16
                        พฤษภาคม
                        2567","205690","885","747","070","137","60"
"2
                        พฤษภาคม
                        2567","980116","104","763","634","833","17"
"16
                        เมษายน
                        2567","943598","729","727","200","154","79"
"1
                        เมษายน
                        2567","803481","809","122","947","559","90"
"16
                        มีนาคม
                        2567","997626","571","509","794","329","78"
"1
                        มีนาคม
                        2567","253603","975","900","703","382","79"
"16
                        กุมภาพันธ์
                        2567","941395","056","330","375","587","43"
"1
                        กุมภาพันธ์
                        2567","607063","454","943","544","591",""
"17
                        มกราคม
                        2567","105979","429","931","196","635","61"
"30
                        ธันวาคม
                        2566","625544","648","600","456","882","89"
"16
                        ธันวาคม
                        2566","356757","058","410","964","584","85"
"1
                        ธันวาคม
                        2566","251097","265","055","092","280","91"
"16
                        พฤศจิกายน
                        2566","557990","346","412","778","961","14"
"1
                        พฤศจิกายน
                        2566","743951","335","913","019","349","63"
"16
                        ตุลาคม
                        2566","931446","167","398","272","970","44"
"1
                        ตุลาคม
                        2566","727202","324","355","426","615","66"
"16
                        กันยายน
                        2566","320812","037","699","344","057","46"
"1
                        กันยายน
                        2566","915478","596","521","692","291","91"
"16
                        สิงหาคม
                        2566","471782","431","739","742","737","67"
"31
                        กรกฎาคม
                        2566","260453","268","708","601","387",""
"16
                        กรกฎาคม
                        2566","169530","384","261","780","066","62"
"1
                        กรกฎาคม
                        2566","922605","281","867","947","491","16"
"16
                        มิถุนายน
                        2566","264872","628","519","202","874","30"
"1
                        มิถุนายน
                        2566","125272","681","000","971","386","09"
